Unnamed: 0,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
773,female,group C,bachelor's degree,free/reduced,none,62,78,79
193,male,group D,some college,standard,completed,77,62,62
388,female,group D,high school,standard,none,62,64,64
852,female,group E,some college,standard,none,87,85,93
169,female,group C,some college,free/reduced,completed,67,75,70
705,male,group A,bachelor's degree,free/reduced,none,62,72,65
140,female,group D,some high school,standard,none,76,72,71
173,female,group C,associate's degree,standard,none,63,67,70
6,female,group B,some college,standard,completed,88,95,92
745,male,group D,associate's degree,standard,none,72,79,74
478,female,group D,master's degree,standard,none,55,64,70
73,male,group C,some high school,free/reduced,none,61,57,56
910,male,group D,bachelor's degree,free/reduced,none,50,42,48
813,male,group E,some high school,standard,completed,87,84,76
238,male,group B,some college,standard,none,54,52,51
145,female,group C,some college,free/reduced,none,22,39,33
792,male,group D,high school,free/reduced,none,66,74,69
234,male,group C,bachelor's degree,standard,completed,83,82,84
220,female,group D,high school,standard,completed,56,68,74
923,female,group B,associate's degree,free/reduced,none,54,65,65
500,female,group D,master's degree,standard,none,74,79,82
132,male,group E,some college,free/reduced,completed,87,74,70
990,male,group E,high school,free/reduced,completed,86,81,75
774,male,group B,some college,standard,none,66,65,60
185,male,group C,associate's degree,free/reduced,completed,65,67,65
41,female,group C,associate's degree,standard,none,58,73,68
696,female,group C,associate's degree,standard,completed,75,82,90
108,female,group B,associate's degree,free/reduced,none,52,76,70
588,female,group C,some college,standard,none,54,64,65
56,female,group E,associate's degree,standard,completed,82,85,86
405,female,group C,some high school,standard,none,63,73,68
442,female,group A,some high school,free/reduced,none,59,73,69
757,male,group E,bachelor's degree,free/reduced,completed,70,68,72
997,female,group C,high school,free/reduced,completed,59,71,65
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80
467,male,group A,high school,free/reduced,completed,72,67,65
539,male,group A,associate's degree,standard,completed,97,92,86
531,female,group C,some high school,standard,none,47,54,53
618,male,group D,master's degree,standard,none,95,81,84
694,female,group C,some high school,standard,none,49,63,56
926,male,group E,associate's degree,free/reduced,none,64,56,52
338,female,group B,some high school,free/reduced,none,24,38,27
51,male,group E,associate's degree,free/reduced,completed,77,69,68
507,male,group B,bachelor's degree,free/reduced,none,55,59,54
516,female,group D,some college,standard,none,74,89,84
920,male,group D,high school,free/reduced,none,69,70,67
781,female,group B,master's degree,standard,none,77,90,84
264,male,group D,high school,standard,none,76,73,68
817,male,group D,bachelor's degree,free/reduced,completed,61,70,76
710,male,group C,some college,standard,completed,93,84,90
682,male,group B,high school,standard,none,62,55,54
832,male,group A,bachelor's degree,standard,none,64,60,58
518,female,group D,some high school,standard,completed,66,78,78
447,male,group C,high school,standard,completed,86,81,80
18,male,group C,master's degree,free/reduced,completed,46,42,46
715,female,group B,associate's degree,free/reduced,completed,76,94,87
483,male,group A,high school,standard,none,59,52,46
568,male,group B,high school,free/reduced,none,63,48,47
433,female,group A,some high school,free/reduced,none,47,59,50
367,male,group C,bachelor's degree,free/reduced,none,61,66,61
83,male,group E,associate's degree,standard,none,72,64,63
61,male,group A,some high school,free/reduced,none,39,39,34
638,male,group E,some college,standard,none,86,76,74
272,female,group D,associate's degree,free/reduced,none,47,53,58
285,male,group B,associate's degree,standard,completed,81,82,82
360,female,group B,high school,standard,none,58,62,59
354,female,group C,some college,standard,none,59,71,70
456,female,group D,bachelor's degree,standard,none,79,89,89
278,female,group C,some high school,free/reduced,none,65,86,80
12,female,group B,high school,standard,none,65,81,73
182,female,group E,high school,standard,none,50,50,47
368,female,group A,some high school,free/reduced,none,44,64,58
881,female,group E,bachelor's degree,standard,completed,71,70,70
615,female,group C,high school,standard,none,60,68,72
223,male,group D,some high school,standard,none,86,80,75
572,female,group C,some college,standard,none,53,62,56
970,female,group D,bachelor's degree,standard,none,89,100,100
653,female,group A,associate's degree,standard,completed,65,70,74
545,male,group E,some high school,free/reduced,completed,78,83,80
582,female,group D,bachelor's degree,free/reduced,none,63,73,78
633,female,group C,high school,standard,none,75,88,85
176,female,group B,high school,free/reduced,completed,46,54,58
665,female,group C,some high school,free/reduced,completed,50,60,60
673,female,group C,associate's degree,standard,completed,65,84,84
585,female,group C,associate's degree,standard,none,65,76,76
873,male,group E,associate's degree,free/reduced,none,90,90,82
393,male,group C,associate's degree,standard,completed,57,54,56
163,male,group C,high school,standard,none,52,53,49
248,female,group B,high school,standard,none,65,64,62
634,male,group D,some high school,standard,none,84,84,80
885,female,group C,associate's degree,standard,completed,62,76,80
669,male,group D,associate's degree,standard,completed,81,72,77
375,male,group E,associate's degree,free/reduced,none,46,43,41
412,male,group D,associate's degree,standard,none,71,66,60
74,male,group C,some high school,standard,none,49,49,41
113,female,group D,some college,standard,none,51,58,54
598,female,group D,high school,standard,none,69,77,73
961,female,group D,some high school,free/reduced,none,48,54,53
390,male,group E,some high school,free/reduced,completed,73,67,59
104,male,group C,some college,standard,completed,98,86,90
114,female,group E,bachelor's degree,standard,completed,99,100,100
417,male,group C,associate's degree,standard,none,74,73,67
525,male,group E,some college,standard,none,68,60,59
457,male,group D,associate's degree,free/reduced,none,53,54,48
409,male,group D,associate's degree,standard,completed,87,84,85
92,male,group C,high school,standard,none,71,79,71
930,male,group C,some college,free/reduced,completed,67,74,70
89,female,group D,some high school,standard,none,73,86,82
336,male,group D,some high school,standard,completed,76,70,69
988,female,group A,some high school,free/reduced,none,44,45,45
921,female,group C,high school,free/reduced,none,35,53,46
933,male,group C,bachelor's degree,free/reduced,completed,70,75,74
605,male,group C,some high school,standard,none,75,72,62
593,female,group E,high school,standard,none,74,76,73
611,female,group C,some college,standard,none,58,59,66
94,female,group B,some college,standard,none,79,86,92
11,male,group D,associate's degree,standard,none,40,52,43
396,female,group B,high school,free/reduced,none,50,67,63
533,female,group E,associate's degree,standard,completed,79,88,94
43,male,group B,some college,free/reduced,completed,59,65,66
42,female,group B,associate's degree,standard,none,53,58,65
329,female,group B,some high school,standard,none,41,55,51
167,female,group B,master's degree,free/reduced,completed,58,76,78
497,female,group D,some college,free/reduced,completed,59,78,76
876,male,group D,some college,standard,none,81,82,84
597,male,group A,some high school,standard,none,53,54,48
756,male,group D,some college,standard,none,55,58,52
100,male,group B,some college,standard,none,79,67,67
426,male,group C,bachelor's degree,standard,none,86,83,86
178,female,group B,master's degree,free/reduced,completed,52,70,62
444,male,group A,some high school,free/reduced,none,79,82,73
416,male,group C,bachelor's degree,standard,completed,71,74,68
870,male,group B,high school,standard,none,59,58,47
882,female,group B,high school,free/reduced,none,64,73,71
680,female,group D,high school,standard,none,67,72,74
177,female,group C,associate's degree,standard,completed,71,77,77
395,male,group A,high school,free/reduced,none,48,45,41
911,female,group A,some college,standard,none,69,84,82
793,male,group E,some high school,standard,completed,89,84,77
960,female,group A,some college,standard,none,56,58,64
684,male,group B,some college,standard,completed,62,66,68
383,female,group E,some high school,free/reduced,none,38,49,45
956,male,group C,some college,standard,none,84,87,81
751,male,group E,some college,standard,none,68,72,65
257,male,group C,associate's degree,standard,completed,78,77,77
538,male,group E,bachelor's degree,standard,completed,85,66,71
335,female,group B,some college,free/reduced,none,61,68,66
15,female,group C,some high school,standard,none,69,75,78
324,female,group C,high school,free/reduced,none,41,46,43
758,female,group D,some college,free/reduced,completed,52,59,65
222,female,group C,some high school,free/reduced,none,55,65,62
179,female,group D,some high school,standard,completed,97,100,100
983,female,group A,some college,standard,completed,78,87,91
22,male,group D,some college,standard,none,44,54,53
356,male,group A,associate's degree,standard,none,63,61,61
666,female,group C,some college,free/reduced,completed,63,73,71
861,female,group E,master's degree,free/reduced,none,81,86,87
340,male,group C,high school,free/reduced,none,58,61,52
431,female,group C,high school,standard,none,61,72,70
551,male,group B,bachelor's degree,free/reduced,completed,87,90,88
833,female,group B,high school,standard,completed,77,82,89
203,female,group B,associate's degree,standard,none,57,69,68
630,male,group D,some college,standard,none,67,64,70
93,male,group C,associate's degree,free/reduced,completed,43,45,50
558,female,group B,associate's degree,free/reduced,none,53,70,70
68,male,group B,associate's degree,free/reduced,none,61,58,56
622,male,group C,high school,free/reduced,completed,58,51,52
284,female,group B,some high school,standard,none,37,46,46
844,female,group D,some high school,free/reduced,completed,40,65,64
434,male,group C,some high school,standard,none,73,66,66
153,male,group D,bachelor's degree,standard,none,54,49,47
75,male,group B,associate's degree,free/reduced,none,44,41,38
730,female,group B,associate's degree,free/reduced,completed,68,77,80
446,male,group D,some college,free/reduced,none,69,66,60
188,male,group B,some high school,free/reduced,none,48,52,45
271,male,group C,some college,standard,none,58,49,42
236,male,group D,bachelor's degree,free/reduced,none,63,66,67
487,female,group C,associate's degree,free/reduced,none,60,75,74
117,female,group D,bachelor's degree,standard,none,78,82,79
943,male,group A,some high school,free/reduced,completed,61,62,61
512,male,group D,some high school,free/reduced,none,62,49,52
825,male,group C,high school,standard,none,62,67,58
591,male,group A,some high school,standard,none,71,62,50
126,male,group B,some high school,standard,none,72,68,67
116,female,group B,bachelor's degree,free/reduced,none,75,85,82
473,female,group D,some high school,standard,none,59,67,61
693,female,group D,associate's degree,standard,none,77,77,73
57,male,group D,associate's degree,standard,none,52,55,49
863,female,group C,some college,standard,completed,71,71,80
912,female,group C,bachelor's degree,standard,completed,52,61,66
369,female,group D,some high school,standard,none,73,84,85
268,female,group D,associate's degree,standard,completed,88,92,95
46,female,group A,associate's degree,standard,completed,55,65,62
349,male,group E,associate's degree,standard,none,87,74,76
195,male,group D,associate's degree,standard,none,61,55,52
999,female,group D,some college,free/reduced,none,77,86,86
834,male,group B,some college,standard,none,58,50,45
736,male,group C,associate's degree,standard,none,92,79,84
263,female,group E,high school,standard,none,99,93,90
443,female,group B,associate's degree,standard,none,73,83,76
675,female,group B,some college,standard,completed,50,64,66
304,female,group C,associate's degree,standard,completed,74,75,83
341,female,group C,high school,standard,none,61,73,63
966,male,group A,some high school,standard,completed,66,68,64
149,male,group E,associate's degree,free/reduced,completed,100,100,93
124,male,group E,some college,standard,none,83,80,73
786,female,group E,some high school,free/reduced,none,72,79,77
50,male,group E,some college,standard,none,53,55,48
353,female,group C,associate's degree,standard,none,46,58,57
927,female,group D,high school,free/reduced,completed,65,61,71
142,female,group E,some college,free/reduced,completed,42,55,54
470,female,group C,associate's degree,standard,completed,83,85,90
399,male,group D,some high school,standard,none,60,59,54
625,male,group D,some college,standard,completed,100,97,99
320,female,group C,high school,free/reduced,completed,67,79,84
19,female,group C,associate's degree,free/reduced,none,54,58,61
809,male,group B,bachelor's degree,standard,none,59,54,51
790,female,group B,high school,standard,none,48,62,60
808,male,group C,high school,standard,none,90,75,69
407,female,group B,associate's degree,standard,none,82,80,77
537,female,group D,high school,standard,none,51,66,62
620,female,group C,high school,free/reduced,none,35,61,54
38,female,group D,associate's degree,free/reduced,completed,75,90,88
175,female,group C,master's degree,standard,completed,81,91,87
245,male,group C,associate's degree,standard,none,85,76,71
828,female,group D,some high school,free/reduced,completed,69,86,81
667,female,group B,bachelor's degree,free/reduced,none,77,85,87
754,male,group C,associate's degree,free/reduced,none,58,55,53
858,male,group B,high school,standard,completed,52,49,46
154,male,group D,some high school,standard,none,62,67,61
287,female,group B,some high school,standard,none,67,89,82
602,female,group E,some college,standard,none,76,78,80
569,male,group D,bachelor's degree,free/reduced,none,68,68,67
743,female,group C,associate's degree,standard,completed,59,73,72
17,female,group B,some high school,free/reduced,none,18,32,28
127,male,group D,some college,standard,completed,65,77,74
322,female,group C,some college,standard,none,71,81,80
255,female,group E,some college,standard,none,62,73,70
657,male,group D,some high school,standard,none,69,66,61
964,male,group D,some college,standard,none,72,57,58
190,female,group E,associate's degree,standard,none,66,65,69
115,male,group C,high school,standard,none,84,77,74
616,female,group E,bachelor's degree,standard,none,37,45,38
606,female,group C,associate's degree,standard,none,85,84,82
180,male,group C,master's degree,free/reduced,completed,62,68,75
301,male,group D,some high school,free/reduced,none,56,54,52
759,male,group B,some college,standard,completed,69,77,77
712,female,group D,some college,standard,none,98,100,99
723,male,group C,high school,standard,none,50,48,42
685,female,group E,master's degree,standard,completed,94,99,100
979,female,group C,associate's degree,standard,none,91,95,94
517,female,group E,some college,standard,completed,66,74,73
984,female,group C,some high school,standard,none,74,75,82
45,male,group B,associate's degree,standard,none,65,54,57
909,male,group E,bachelor's degree,standard,completed,70,64,70
157,male,group B,some college,free/reduced,none,60,60,60
851,female,group A,high school,standard,none,61,68,63
171,male,group E,some high school,standard,none,94,88,78
16,male,group C,high school,standard,none,88,89,86
511,male,group A,some high school,standard,none,64,50,43
48,female,group D,associate's degree,free/reduced,completed,57,74,76
971,male,group C,some high school,standard,completed,78,72,69
940,male,group C,master's degree,free/reduced,completed,72,66,72
515,female,group C,some high school,standard,completed,76,87,85
952,female,group E,some high school,free/reduced,none,74,74,72
480,male,group B,high school,standard,completed,73,71,68
283,female,group D,some college,free/reduced,completed,70,78,78
718,female,group C,high school,standard,none,76,76,74
877,male,group C,some high school,standard,none,57,61,54
225,female,group E,master's degree,free/reduced,none,45,56,54
26,male,group B,some college,standard,none,69,54,55
954,female,group C,some college,standard,none,62,69,69
437,male,group D,associate's degree,free/reduced,none,75,66,73
951,female,group D,some college,standard,completed,75,77,83
364,male,group C,some college,standard,none,59,60,58
229,female,group C,some college,standard,completed,88,95,94
37,female,group D,some high school,free/reduced,none,50,64,59
965,female,group D,some college,standard,none,62,70,72
374,female,group D,bachelor's degree,standard,none,59,70,73
469,male,group C,some college,standard,none,91,74,76
967,male,group C,some college,standard,none,63,63,60
850,male,group C,master's degree,standard,none,71,67,67
704,female,group B,some high school,free/reduced,completed,59,63,64
841,male,group C,some high school,standard,none,64,58,51
194,female,group C,master's degree,standard,completed,69,84,85
854,male,group C,some high school,standard,none,62,64,55
864,male,group C,associate's degree,standard,none,97,93,91
503,female,group E,associate's degree,standard,completed,95,89,92
969,female,group B,bachelor's degree,standard,none,75,84,80
830,female,group A,some college,free/reduced,none,61,60,57
579,female,group D,master's degree,standard,none,53,61,68
968,female,group E,associate's degree,standard,none,68,76,67
162,male,group B,master's degree,free/reduced,none,49,53,52
908,female,group C,bachelor's degree,free/reduced,none,67,75,72
152,female,group B,associate's degree,standard,completed,59,70,66
801,male,group C,some high school,standard,completed,76,80,73
993,female,group D,bachelor's degree,free/reduced,none,62,72,74
755,female,group E,associate's degree,standard,none,84,95,92
111,male,group C,high school,standard,none,62,55,49
226,female,group C,some college,standard,none,72,72,71
688,male,group A,high school,free/reduced,none,53,58,44
103,male,group B,high school,standard,completed,60,44,47
421,female,group D,high school,standard,completed,57,58,64
419,male,group E,high school,free/reduced,completed,57,56,54
750,male,group D,some high school,standard,completed,71,69,68
586,female,group A,high school,standard,none,55,73,73
780,female,group D,associate's degree,free/reduced,none,46,56,57
672,female,group C,some college,standard,none,69,78,76
119,female,group C,some college,standard,none,55,69,65
53,male,group D,high school,standard,none,88,78,75
151,male,group A,bachelor's degree,standard,none,77,67,68
403,female,group D,high school,standard,completed,88,99,100
945,female,group C,associate's degree,standard,none,54,61,58
207,male,group E,high school,standard,completed,81,80,76
658,female,group D,associate's degree,free/reduced,none,43,60,58
843,male,group B,some college,free/reduced,completed,74,77,76
762,male,group D,some high school,standard,completed,78,81,86
8,male,group D,high school,free/reduced,completed,64,64,67
807,female,group E,high school,free/reduced,none,41,45,40
36,female,group D,associate's degree,standard,none,74,81,83
452,female,group C,associate's degree,free/reduced,none,65,77,74
651,female,group A,high school,standard,completed,68,80,76
253,male,group D,master's degree,standard,none,80,80,72
303,male,group B,associate's degree,standard,none,80,76,64
746,male,group D,high school,standard,none,69,75,71
571,male,group A,bachelor's degree,standard,none,91,96,92
623,male,group A,some college,standard,completed,100,96,86
732,female,group C,some college,standard,completed,87,89,94
891,female,group E,associate's degree,standard,none,85,92,85
262,female,group C,some high school,free/reduced,none,44,50,51
610,male,group D,some college,free/reduced,completed,69,60,63
297,male,group E,associate's degree,standard,completed,71,74,68
414,female,group C,bachelor's degree,free/reduced,completed,51,72,79
150,male,group A,some high school,standard,completed,62,67,69
788,male,group C,associate's degree,free/reduced,none,68,65,61
640,male,group D,high school,standard,none,41,52,51
889,male,group D,high school,free/reduced,none,44,51,48
550,male,group C,some high school,free/reduced,none,79,76,65
886,female,group E,associate's degree,standard,completed,93,100,95
488,male,group B,some high school,standard,completed,64,53,57
147,male,group C,associate's degree,free/reduced,none,73,68,66
146,male,group B,some high school,standard,none,88,84,75
720,female,group C,some college,free/reduced,none,62,72,70
931,male,group D,some college,free/reduced,none,62,57,62
739,male,group C,high school,free/reduced,none,61,60,55
659,male,group D,associate's degree,standard,none,90,87,85
348,male,group D,high school,free/reduced,none,75,74,66
463,female,group C,some college,free/reduced,none,77,90,91
325,female,group C,some college,standard,none,82,90,94
186,male,group E,high school,standard,none,80,76,65
123,male,group D,high school,free/reduced,none,63,57,56
853,male,group E,some high school,standard,none,82,67,61
608,female,group E,some college,standard,none,61,64,62
143,male,group A,high school,standard,none,57,43,47
958,female,group D,high school,standard,none,45,63,59
197,male,group E,high school,free/reduced,none,55,56,51
609,female,group B,associate's degree,standard,none,58,63,65
279,male,group B,bachelor's degree,free/reduced,none,73,56,57
293,female,group E,bachelor's degree,standard,none,65,73,75
400,female,group C,some high school,standard,completed,59,54,67
122,female,group C,some college,standard,completed,88,93,93
183,female,group D,associate's degree,standard,none,65,69,70
202,male,group C,associate's degree,standard,none,69,77,69
438,male,group C,high school,standard,none,70,56,51
246,male,group E,associate's degree,standard,none,89,76,74
415,male,group E,high school,standard,none,84,73,69
932,male,group D,associate's degree,free/reduced,completed,61,71,73
765,female,group B,high school,standard,none,74,72,72
906,male,group B,high school,standard,none,57,48,51
835,female,group C,high school,standard,completed,60,64,74
887,male,group C,high school,free/reduced,none,54,72,59
129,female,group A,bachelor's degree,standard,none,51,49,51
637,female,group D,some high school,standard,completed,80,92,88
402,female,group A,some college,free/reduced,none,49,65,55
784,male,group C,bachelor's degree,standard,completed,91,81,79
770,male,group B,high school,standard,none,52,48,49
735,male,group C,master's degree,standard,none,67,57,59
913,female,group C,bachelor's degree,free/reduced,completed,47,62,66
219,male,group B,some high school,standard,completed,61,56,56
641,female,group D,associate's degree,free/reduced,completed,74,88,90
915,female,group E,some college,standard,none,68,70,66
752,male,group C,master's degree,free/reduced,completed,79,77,75
806,female,group D,some college,free/reduced,none,64,74,75
919,male,group B,some college,standard,completed,91,96,91
624,female,group E,bachelor's degree,free/reduced,none,61,58,62
874,female,group C,bachelor's degree,free/reduced,none,43,62,61
760,female,group C,high school,free/reduced,none,53,72,64
386,female,group E,bachelor's degree,standard,none,64,73,70
972,female,group A,high school,free/reduced,completed,53,50,60
509,female,group C,bachelor's degree,standard,none,86,92,87
267,female,group D,high school,standard,none,69,72,77
819,female,group C,some high school,standard,none,77,91,88
441,female,group D,high school,standard,none,78,81,80
496,female,group C,some college,standard,none,54,48,52
112,male,group A,associate's degree,standard,none,54,53,47
691,female,group E,associate's degree,free/reduced,none,73,76,78
232,female,group B,bachelor's degree,standard,none,67,86,83
869,male,group C,associate's degree,free/reduced,none,49,51,51
607,female,group C,master's degree,free/reduced,none,40,58,54
671,male,group D,associate's degree,free/reduced,none,52,57,50
373,female,group D,some college,standard,completed,82,97,96
981,male,group D,some high school,standard,none,81,78,78
842,female,group B,high school,free/reduced,completed,23,44,36
233,male,group E,some high school,standard,none,92,87,78
785,female,group B,some high school,standard,completed,32,51,44
676,female,group E,some college,standard,completed,73,78,76
317,male,group C,associate's degree,standard,none,83,72,78
648,female,group B,high school,standard,none,50,53,55
410,female,group D,master's degree,standard,completed,70,71,74
898,male,group D,associate's degree,standard,completed,67,54,63
709,female,group D,associate's degree,free/reduced,completed,42,61,58
358,male,group D,some college,free/reduced,none,59,62,61
258,female,group B,some college,standard,none,70,75,78
744,male,group B,some college,free/reduced,none,55,55,47
627,male,group D,associate's degree,standard,none,61,48,46
